query_id,query_text,tau_method,rank,cve_id,title,score
1,directory traversal in backup restore endpoint,Cosine,1,CVE-2006-5677,(no title),0.824230
1,directory traversal in backup restore endpoint,Cosine,2,CVE-2025-37785,ext4: fix OOB read when checking dotdot dir,0.821781
1,directory traversal in backup restore endpoint,Cosine,3,CVE-2006-2286,(no title),0.821163
1,directory traversal in backup restore endpoint,Cosine,4,CVE-2023-41044,Partial path traversal vulnerability in Support Bundle feature of Graylog,0.820812
1,directory traversal in backup restore endpoint,Cosine,5,CVE-2025-62156,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,0.820797
1,directory traversal in backup restore endpoint,Cosine,6,CVE-2013-2142,(no title),0.820738
1,directory traversal in backup restore endpoint,Cosine,7,CVE-2020-14004,(no title),0.819495
1,directory traversal in backup restore endpoint,Cosine,8,CVE-2025-71183,btrfs: always detect conflicting inodes when logging inode refs,0.818913
1,directory traversal in backup restore endpoint,Cosine,9,CVE-2007-1056,(no title),0.818031
1,directory traversal in backup restore endpoint,Cosine,10,CVE-2015-4684,(no title),0.817929
1,directory traversal in backup restore endpoint,Cosine,11,CVE-2021-37444,(no title),0.817368
1,directory traversal in backup restore endpoint,Cosine,12,CVE-2019-8925,(no title),0.816982
1,directory traversal in backup restore endpoint,Cosine,13,CVE-2025-45582,(no title),0.815481
1,directory traversal in backup restore endpoint,Cosine,14,CVE-2014-0358,(no title),0.814254
1,directory traversal in backup restore endpoint,Cosine,15,CVE-2026-28808,ScriptAlias CGI targets bypass directory auth in inets httpd (mod_auth vs mod_cgi path mismatch),0.813894
1,directory traversal in backup restore endpoint,Cosine,16,CVE-2021-37701,Arbitrary File Creation/Overwrite via insufficient symlink protection due to directory cache poisoning using symbolic links,0.813853
1,directory traversal in backup restore endpoint,Cosine,17,CVE-2021-35975,(no title),0.813135
1,directory traversal in backup restore endpoint,Cosine,18,CVE-2006-0512,(no title),0.812953
1,directory traversal in backup restore endpoint,Cosine,19,CVE-2023-29007,Arbitrary configuration injection via `git submodule deinit`,0.812665
1,directory traversal in backup restore endpoint,Cosine,20,CVE-2020-15843,(no title),0.812340
1,directory traversal in backup restore endpoint,Cosine,21,CVE-2018-19986,(no title),0.812057
1,directory traversal in backup restore endpoint,Cosine,22,CVE-2025-37741,jfs: Prevent copying of nlink with value 0 from disk inode,0.811561
1,directory traversal in backup restore endpoint,Cosine,23,CVE-2025-14740,Docker Desktop for Windows Incorrect Permission Assignment Privilege Escalation Vulnerabilities,0.811521
1,directory traversal in backup restore endpoint,Cosine,24,CVE-2024-53087,drm/xe: Fix possible exec queue leak in exec IOCTL,0.811125
1,directory traversal in backup restore endpoint,Cosine,25,CVE-2020-26880,(no title),0.810646
1,directory traversal in backup restore endpoint,Hybrid,1,CVE-2006-5677,(no title),0.865124
1,directory traversal in backup restore endpoint,Hybrid,2,CVE-2006-2286,(no title),0.864034
1,directory traversal in backup restore endpoint,Hybrid,3,CVE-2026-28808,ScriptAlias CGI targets bypass directory auth in inets httpd (mod_auth vs mod_cgi path mismatch),0.859709
1,directory traversal in backup restore endpoint,Hybrid,4,CVE-2013-6987,(no title),0.859044
1,directory traversal in backup restore endpoint,Hybrid,5,CVE-2024-56549,cachefiles: Fix NULL pointer dereference in object->file,0.856638
1,directory traversal in backup restore endpoint,Hybrid,6,CVE-2013-6456,(no title),0.855171
1,directory traversal in backup restore endpoint,Hybrid,7,CVE-2022-35899,(no title),0.854452
1,directory traversal in backup restore endpoint,Hybrid,8,CVE-2024-39469,nilfs2: fix nilfs_empty_dir() misjudgment and long loop on I/O errors,0.851964
1,directory traversal in backup restore endpoint,Hybrid,9,CVE-2021-27692,(no title),0.850184
1,directory traversal in backup restore endpoint,Hybrid,10,CVE-2026-24516,(no title),0.849522
1,directory traversal in backup restore endpoint,Hybrid,11,CVE-2022-39959,(no title),0.849488
1,directory traversal in backup restore endpoint,Hybrid,12,CVE-2020-26880,(no title),0.849471
1,directory traversal in backup restore endpoint,Hybrid,13,CVE-2025-67366,(no title),0.847386
1,directory traversal in backup restore endpoint,Hybrid,14,CVE-2024-36056,(no title),0.846538
1,directory traversal in backup restore endpoint,Hybrid,15,CVE-2009-3556,(no title),0.846392
1,directory traversal in backup restore endpoint,Hybrid,16,CVE-2023-54202,drm/i915: fix race condition UAF in i915_perf_add_config_ioctl,0.845783
1,directory traversal in backup restore endpoint,Hybrid,17,CVE-2022-50878,gpu: lontium-lt9611: Fix NULL pointer dereference in lt9611_connector_init(),0.845052
1,directory traversal in backup restore endpoint,Hybrid,18,CVE-2009-5081,(no title),0.844823
1,directory traversal in backup restore endpoint,Hybrid,19,CVE-2025-37785,ext4: fix OOB read when checking dotdot dir,0.844803
1,directory traversal in backup restore endpoint,Hybrid,20,CVE-2009-3163,(no title),0.844764
1,directory traversal in backup restore endpoint,Hybrid,21,CVE-2023-41044,Partial path traversal vulnerability in Support Bundle feature of Graylog,0.844056
1,directory traversal in backup restore endpoint,Hybrid,22,CVE-2025-62156,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,0.844049
1,directory traversal in backup restore endpoint,Hybrid,23,CVE-2022-47631,(no title),0.843902
1,directory traversal in backup restore endpoint,Hybrid,24,CVE-2008-4728,(no title),0.843881
1,directory traversal in backup restore endpoint,Hybrid,25,CVE-2008-7262,(no title),0.843876
1,directory traversal in backup restore endpoint,Taumode,1,CVE-2013-6987,(no title),0.916129
1,directory traversal in backup restore endpoint,Taumode,2,CVE-2022-35899,(no title),0.912488
1,directory traversal in backup restore endpoint,Taumode,3,CVE-2024-39469,nilfs2: fix nilfs_empty_dir() misjudgment and long loop on I/O errors,0.911616
1,directory traversal in backup restore endpoint,Taumode,4,CVE-2013-6456,(no title),0.910816
1,directory traversal in backup restore endpoint,Taumode,5,CVE-2006-2286,(no title),0.909967
1,directory traversal in backup restore endpoint,Taumode,6,CVE-2009-5081,(no title),0.909378
1,directory traversal in backup restore endpoint,Taumode,7,CVE-2024-36056,(no title),0.909324
1,directory traversal in backup restore endpoint,Taumode,8,CVE-2006-5677,(no title),0.908938
1,directory traversal in backup restore endpoint,Taumode,9,CVE-2026-28808,ScriptAlias CGI targets bypass directory auth in inets httpd (mod_auth vs mod_cgi path mismatch),0.908796
1,directory traversal in backup restore endpoint,Taumode,10,CVE-2008-7262,(no title),0.908529
1,directory traversal in backup restore endpoint,Taumode,11,CVE-2022-50878,gpu: lontium-lt9611: Fix NULL pointer dereference in lt9611_connector_init(),0.908034
1,directory traversal in backup restore endpoint,Taumode,12,CVE-2025-38625,vfio/pds: Fix missing detach_ioas op,0.908016
1,directory traversal in backup restore endpoint,Taumode,13,CVE-2020-13164,(no title),0.907803
1,directory traversal in backup restore endpoint,Taumode,14,CVE-2024-56549,cachefiles: Fix NULL pointer dereference in object->file,0.907296
1,directory traversal in backup restore endpoint,Taumode,15,CVE-2009-3556,(no title),0.907046
1,directory traversal in backup restore endpoint,Taumode,16,CVE-2021-27692,(no title),0.906124
