query_id,query_text,tau,k,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay,n_tail_items,total_items
1,what is the origin of COVID-19,0.4,10,0.925455397262521,0.8993428620685141,0.00334942051137156,0.9717841235015244,0.003724297654031298,0.0014552840047127472,7,10
1,what is the origin of COVID-19,0.5,10,0.9068217168062273,0.8747866115918344,0.004092643427687438,0.9646732046435559,0.004678447719084457,0.001819262448958105,7,10
1,what is the origin of COVID-19,0.55,10,0.8975048765780803,0.8625415354056507,0.0045806624290158126,0.9610438426744438,0.005310657215900381,0.0019682026189244656,7,10
1,what is the origin of COVID-19,0.6,10,0.8881880363499333,0.8503450295506436,0.005089759907571709,0.9573930234921786,0.005985523206105341,0.0021374571282658994,7,10
1,what is the origin of COVID-19,0.65,10,0.8788711961217864,0.8381485236956364,0.005645241072006007,0.9536648002507673,0.00673537077547369,0.002315704680890326,7,10
1,what is the origin of COVID-19,0.7,10,0.8695543558936395,0.8259520178406294,0.006234720588896855,0.9498566849128137,0.007548526372266661,0.002493952233514753,7,10
1,what is the origin of COVID-19,0.8,10,0.8509206754373455,0.8053335095410007,0.006804705309352349,0.9464260685957425,0.008449549445956479,0.0024700518128739158,7,10
1,what is the origin of COVID-19,1.0,10,0.8379668032275105,0.7774369392539414,0.0063050245955742126,0.9277657972363196,0.008110014172499647,0.002274334533627861,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.4,10,0.903432832959258,0.8795439526809591,0.003802758733287309,0.9735576576290135,0.0043235573636724225,0.0015925027512957277,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.5,10,0.8882293596575268,0.8613049340540648,0.005837798867532435,0.9696875302412395,0.006777853738808364,0.0029117493195563054,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.55,10,0.8824990412953156,0.8536969762270613,0.008368699661394603,0.9673630636176338,0.009802892471729623,0.003661922919860402,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.6,10,0.8788276461806074,0.8476993063879955,0.008408487831946119,0.9645796989570186,0.009919186872729985,0.004057187220320494,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.65,10,0.8762606666734074,0.8432523355874987,0.005719579056234762,0.9623304658747038,0.006782761001485871,0.0026978277939698598,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.7,10,0.8736936871662073,0.8391915377556085,0.002822754073566911,0.9605100163622502,0.0033636588866425873,0.0011167196638637617,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,0.8,10,0.8685597281518073,0.8310699420918286,0.0051580950999475335,0.956836835919445,0.006206571599695267,0.002538769390902997,7,10
10,has social distancing had an impact on slowing the spread of COVID-19?,1.0,10,0.8582918101230073,0.8176015529432811,0.012990434253551831,0.9525915816744254,0.015888465728553975,0.006746096791721112,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.4,10,0.8944142374730344,0.8815246863419174,0.004978771333409527,0.9855888350262251,0.005647909140321465,0.0018570204319036426,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.5,10,0.8680185693206655,0.8519066645074757,0.0062232554135875804,0.9814382947754223,0.007305090654720392,0.0023212865692666834,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.55,10,0.8548207352444809,0.8370976535902549,0.006845497463267416,0.9792669024937057,0.008177656972167515,0.0025534196379481955,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.6,10,0.8416229011682962,0.8222886426730341,0.007467739517210035,0.9770274092251728,0.009081652268641908,0.002785552706629692,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.65,10,0.8284250670921116,0.8074796317558134,0.008089981574431896,0.9747165601714352,0.010018805746023268,0.003017685775311204,7,10
11,what are the guidelines for triaging patients infected with coronavirus?,0.7,10,0.8152272330159273,0.7926706208385924,0.008712223634230309,0.9723308897644565,0.01099097582929636,0.0032498188439927167,7,10
