query_id,tau,head_k,eval_k,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay,n_tail_items,total_items
1,0.4,3,10,0.925455397262521,0.8993428620685141,0.00334942051137156,0.9717841235015244,0.003724297654031298,0.0014552840047127472,7,10
1,0.5,3,10,0.9068217168062273,0.8747866115918344,0.004092643427687438,0.9646732046435559,0.004678447719084457,0.001819262448958105,7,10
1,0.55,3,10,0.8975048765780803,0.8625415354056507,0.0045806624290158126,0.9610438426744438,0.005310657215900381,0.0019682026189244656,7,10
1,0.6,3,10,0.8881880363499333,0.8503450295506436,0.005089759907571709,0.9573930234921786,0.005985523206105341,0.0021374571282658994,7,10
1,0.65,3,10,0.8788711961217864,0.8381485236956364,0.005645241072006007,0.9536648002507673,0.00673537077547369,0.002315704680890326,7,10
1,0.7,3,10,0.8695543558936395,0.8259520178406294,0.006234720588896855,0.9498566849128137,0.007548526372266661,0.002493952233514753,7,10
1,0.8,3,10,0.8509206754373455,0.8053335095410007,0.006804705309352349,0.9464260685957425,0.008449549445956479,0.0024700518128739158,7,10
1,1.0,3,10,0.8379668032275105,0.7774369392539414,0.0063050245955742126,0.9277657972363196,0.008110014172499647,0.002274334533627861,7,10
10,0.4,3,10,0.903432832959258,0.8795439526809591,0.003802758733287309,0.9735576576290135,0.0043235573636724225,0.0015925027512957277,7,10
10,0.5,3,10,0.8882293596575268,0.8613049340540648,0.005837798867532435,0.9696875302412395,0.006777853738808364,0.0029117493195563054,7,10
10,0.55,3,10,0.8824990412953156,0.8536969762270613,0.008368699661394603,0.9673630636176338,0.009802892471729623,0.003661922919860402,7,10
10,0.6,3,10,0.8788276461806074,0.8476993063879955,0.008408487831946119,0.9645796989570186,0.009919186872729985,0.004057187220320494,7,10
10,0.65,3,10,0.8762606666734074,0.8432523355874987,0.005719579056234762,0.9623304658747038,0.006782761001485871,0.0026978277939698598,7,10
10,0.7,3,10,0.8736936871662073,0.8391915377556085,0.002822754073566911,0.9605100163622502,0.0033636588866425873,0.0011167196638637617,7,10
