tau,head_k,eval_k,tail_to_head_ratio_mean,tail_to_head_ratio_std,tail_to_head_ratio_ci95,n_queries
0.4,3,10,0.9800895687177058,0.0124984120418682,0.0034643830682764944,50
0.4,5,10,0.9834664271661887,0.009064738298039611,0.0025126172647282835,50
0.5,3,10,0.975317151787956,0.0153885916265571,0.004265499976883227,50
0.5,5,10,0.9792231823398794,0.011319010460375195,0.003137469628718284,50
0.55,3,10,0.9731918256007874,0.016634087211239754,0.004610733739439095,50
0.55,5,10,0.9771918506958005,0.012125148597746322,0.0033609197201735046,50
0.6,3,10,0.9708592641445312,0.017959786852872313,0.004978198932353758,50
0.6,5,10,0.9749484502335171,0.012973595671633004,0.003596097250507382,50
0.65,3,10,0.968569495203471,0.019430630291895526,0.005385895933314204,50
0.65,5,10,0.9730787405614554,0.013937066304412824,0.0038631576847291626,50
0.7,3,10,0.9661578774118559,0.02080738694740698,0.005767513408439301,50
0.7,5,10,0.9711014234049012,0.014912368826393158,0.0041334977513134115,50
0.8,3,10,0.9607023602469624,0.02337351444161576,0.006478807660236655,50
0.8,5,10,0.9662049983841007,0.016906917446209067,0.004686358422268826,50
1.0,3,10,0.9486224857953602,0.02881096057852758,0.007985990834249458,50
1.0,5,10,0.9558078442986491,0.021175800321909587,0.005869632385832421,50
