tau,metric,mean,std_dev,ci95,n_queries
0.4,ndcg,0.4196376436913878,0.30915545093026253,0.08569351899108084,50
0.4,relevance_recall,0.4780000000000001,0.30923869652514613,0.0857165934927421,50
0.4,traditional_recall,0.6659999999999999,0.28038603126869965,0.0777190427115517,50
0.4,semantic_recall,0.6466666666666667,0.37742413753208304,0.10461663347670866,50
0.4,tolerant_recall,1.0,0.0,0.0,50
0.4,semantic_uplift_internal,0.33399999999999996,0.2803860312686997,0.07771904271155171,50
0.4,semantic_uplift_qrel,0.5219999999999999,0.30923869652514613,0.0857165934927421,50
0.4,tail_to_head_ratio,0.9800895687177058,0.0124984120418682,0.0034643830682764944,50
0.4,tail_cv,0.004592751131806864,0.002212250360850719,0.0006132045148812525,50
0.4,tail_decay,0.0016474744983627496,0.0007233737476245311,0.0002005089730528318,50
0.5,ndcg,0.44440846327163286,0.3054907279542047,0.0846777096078049,50
0.5,relevance_recall,0.5000000000000001,0.30304576336566325,0.08399999999999999,50
0.5,traditional_recall,0.71,0.2525381361380527,0.07,50
0.5,semantic_recall,0.7133333333333333,0.35641195049836627,0.098792352380581,50
0.5,tolerant_recall,0.996,0.028284271247461898,0.007839999999999998,50
0.5,semantic_uplift_internal,0.286,0.24244502848426217,0.06720233329282548,50
0.5,semantic_uplift_qrel,0.49599999999999994,0.3043628339562463,0.08436507334199385,50
0.5,tail_to_head_ratio,0.975317151787956,0.0153885916265571,0.004265499976883227,50
0.5,tail_cv,0.006039793808843715,0.0028481432249554224,0.0007894650241573486,50
0.5,tail_decay,0.002179170036886276,0.0009557825413127954,0.00026492940399037973,50
0.55,ndcg,0.45361776581049285,0.3160465132217888,0.08760362400644034,50
0.55,relevance_recall,0.5060000000000001,0.31063463675356684,0.08610352838298788,50
0.55,traditional_recall,0.732,0.23250192011495918,0.06444624426605479,50
0.55,semantic_recall,0.7316666666666667,0.3455622451977681,0.09578496750534499,50
0.55,tolerant_recall,0.998,0.014142135623730949,0.003919999999999999,50
0.55,semantic_uplift_internal,0.26599999999999996,0.22732696940840116,0.06301182111318479,50
0.55,semantic_uplift_qrel,0.49199999999999994,0.3122270236313864,0.08654491550634272,50
0.55,tail_to_head_ratio,0.9731918256007874,0.016634087211239754,0.004610733739439095,50
0.55,tail_cv,0.0067982668885173715,0.0030451573811708706,0.0008440745621304267,50
0.55,tail_decay,0.0024303747892076037,0.0010344149796082255,0.00028672520388363284,50
0.6,ndcg,0.4582024197237621,0.31799604383446706,0.08814400632245173,50
0.6,relevance_recall,0.51,0.31638906557643,0.08769857467484861,50
0.6,traditional_recall,0.754,0.22516207314659692,0.062411742484888205,50
